timestamp,container_name,cpu_percent,mem_usage_mb,gpu_percent,gpu_mem_percent
2025-10-10T13:46:50Z,analylit_monitor,0.75%,9.438MiB / 13.65GiB,N/A,N/A
2025-10-10T13:46:50Z,analylit_db,0.02%,17.03MiB / 13.65GiB,N/A,N/A
2025-10-10T13:46:50Z,analylit_redis,2.02%,3.68MiB / 13.65GiB,N/A,N/A
2025-10-10T13:46:50Z,analylit-worker-import-1,0.04%,20.89MiB / 4GiB,N/A,N/A
2025-10-10T13:46:50Z,analylit-worker-synthesis-2,0.05%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T13:46:50Z,analylit-worker-analysis-4,0.04%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T13:46:50Z,analylit_ollama,6.43%,22.48MiB / 13.65GiB,N/A,N/A
2025-10-10T13:46:50Z,analylit-worker-screening-1,0.04%,22.03MiB / 13.65GiB,N/A,N/A
2025-10-10T13:46:50Z,analylit-worker-extraction-6,0.05%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T13:46:50Z,analylit-rq-dashboard-1,0.01%,19.44MiB / 13.65GiB,N/A,N/A
2025-10-10T13:46:50Z,analylit-worker-synthesis-1,8.41%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T13:46:50Z,analylit-worker-analysis-6,14.71%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T13:46:50Z,analylit-worker-extraction-2,0.04%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T13:46:50Z,analylit-worker-screening-2,0.04%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T13:46:50Z,analylit-worker-analysis-3,0.04%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T13:46:50Z,analylit-worker-extraction-5,0.03%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T13:46:50Z,analylit-worker-analysis-5,3.63%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T13:46:50Z,analylit-worker-extraction-4,0.03%,22.02MiB / 13.65GiB,N/A,N/A
2025-10-10T13:46:50Z,analylit-worker-analysis-1,0.05%,22.02MiB / 13.65GiB,N/A,N/A
2025-10-10T13:46:50Z,analylit-worker-extraction-1,0.04%,22.02MiB / 13.65GiB,N/A,N/A
2025-10-10T13:46:50Z,analylit-worker-analysis-2,0.04%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T13:46:50Z,analylit-worker-extraction-3,2.56%,22.05MiB / 13.65GiB,N/A,N/A
2025-10-10T13:46:57Z,analylit-rq-dashboard-1,0.01%,19.7MiB / 13.65GiB,N/A,N/A
2025-10-10T13:46:57Z,analylit-worker-import-1,0.03%,20.89MiB / 4GiB,N/A,N/A
2025-10-10T13:46:57Z,analylit-worker-analysis-4,0.04%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T13:46:57Z,analylit-worker-extraction-6,0.04%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T13:46:57Z,analylit-worker-analysis-6,0.04%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T13:46:57Z,analylit-worker-synthesis-2,0.04%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T13:46:57Z,analylit-worker-extraction-2,0.04%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T13:46:57Z,analylit-worker-extraction-5,0.04%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T13:46:57Z,analylit-worker-screening-1,0.04%,22.03MiB / 13.65GiB,N/A,N/A
2025-10-10T13:46:57Z,analylit-worker-analysis-3,0.04%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T13:46:57Z,analylit_ollama,0.00%,26.65MiB / 13.65GiB,N/A,N/A
2025-10-10T13:46:57Z,analylit-worker-synthesis-1,0.03%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T13:46:57Z,analylit-worker-extraction-4,0.04%,22.02MiB / 13.65GiB,N/A,N/A
2025-10-10T13:46:57Z,analylit_db,1.65%,18.4MiB / 13.65GiB,N/A,N/A
2025-10-10T13:46:57Z,analylit-worker-analysis-5,0.03%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T13:46:57Z,analylit-worker-analysis-1,0.03%,22.02MiB / 13.65GiB,N/A,N/A
2025-10-10T13:46:57Z,analylit_redis,0.36%,3.836MiB / 13.65GiB,N/A,N/A
2025-10-10T13:46:57Z,analylit-worker-extraction-1,0.04%,22.02MiB / 13.65GiB,N/A,N/A
2025-10-10T13:46:57Z,analylit-worker-extraction-3,0.03%,22.05MiB / 13.65GiB,N/A,N/A
2025-10-10T13:46:57Z,analylit-worker-analysis-2,0.04%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T13:46:57Z,analylit-worker-screening-2,0.03%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T13:46:57Z,analylit_monitor,0.04%,10.56MiB / 13.65GiB,N/A,N/A
2025-10-10T13:46:57Z,--,0.00%,0B / 0B,N/A,N/A
2025-10-10T13:47:05Z,analylit_web,583.65%,3.797GiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:05Z,analylit-rq-dashboard-1,0.01%,19.7MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:05Z,analylit-worker-import-1,0.04%,20.89MiB / 4GiB,N/A,N/A
2025-10-10T13:47:05Z,analylit-worker-analysis-4,0.04%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:05Z,analylit-worker-extraction-6,0.05%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:05Z,analylit-worker-analysis-6,0.04%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:05Z,analylit-worker-synthesis-2,0.03%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:05Z,analylit-worker-extraction-2,0.03%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:05Z,analylit-worker-extraction-5,0.04%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:05Z,analylit-worker-screening-1,0.04%,22.03MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:05Z,analylit-worker-analysis-3,0.05%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:05Z,analylit_ollama,0.00%,26.65MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:05Z,analylit-worker-synthesis-1,0.04%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:05Z,analylit-worker-extraction-4,0.05%,22.02MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:05Z,analylit_db,0.03%,18.43MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:05Z,analylit-worker-analysis-5,0.03%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:05Z,analylit-worker-analysis-1,0.03%,22.02MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:05Z,analylit_redis,0.37%,3.836MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:05Z,analylit-worker-extraction-1,0.05%,22.02MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:05Z,analylit-worker-extraction-3,0.03%,22.05MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:05Z,analylit-worker-analysis-2,0.03%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:05Z,analylit-worker-screening-2,0.04%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:05Z,analylit_monitor,0.00%,9.984MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:13Z,analylit_web,91.14%,5.092GiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:13Z,analylit-rq-dashboard-1,0.24%,19.7MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:13Z,analylit-worker-import-1,0.05%,20.89MiB / 4GiB,N/A,N/A
2025-10-10T13:47:13Z,analylit-worker-analysis-4,0.05%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:13Z,analylit-worker-extraction-6,0.04%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:13Z,analylit-worker-analysis-6,0.06%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:13Z,analylit-worker-synthesis-2,0.05%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:13Z,analylit-worker-extraction-2,0.05%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:13Z,analylit-worker-extraction-5,0.06%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:13Z,analylit-worker-screening-1,0.04%,22.03MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:13Z,analylit-worker-analysis-3,0.06%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:13Z,analylit_ollama,0.00%,26.65MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:13Z,analylit-worker-synthesis-1,0.04%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:13Z,analylit-worker-extraction-4,0.04%,22.02MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:13Z,analylit_db,0.02%,19.15MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:13Z,analylit-worker-analysis-5,0.05%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:13Z,analylit-worker-analysis-1,0.05%,22.02MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:13Z,analylit_redis,0.45%,3.773MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:13Z,analylit-worker-extraction-1,0.04%,22.02MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:13Z,analylit-worker-extraction-3,0.05%,22.05MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:13Z,analylit-worker-analysis-2,0.05%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:13Z,analylit-worker-screening-2,0.04%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:13Z,analylit_monitor,1.03%,10.91MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:20Z,analylit_web,0.14%,5.247GiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:20Z,analylit-rq-dashboard-1,0.01%,19.7MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:20Z,analylit-worker-import-1,0.03%,20.89MiB / 4GiB,N/A,N/A
2025-10-10T13:47:20Z,analylit-worker-analysis-4,0.04%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:20Z,analylit-worker-extraction-6,0.03%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:20Z,analylit-worker-analysis-6,0.03%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:20Z,analylit-worker-synthesis-2,0.03%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:20Z,analylit-worker-extraction-2,0.03%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:20Z,analylit-worker-extraction-5,0.03%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:20Z,analylit-worker-screening-1,0.04%,22.03MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:20Z,analylit-worker-analysis-3,0.03%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:20Z,analylit_ollama,0.00%,26.65MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:20Z,analylit-worker-synthesis-1,0.03%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:20Z,analylit-worker-extraction-4,0.03%,22.02MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:20Z,analylit_db,0.02%,19.15MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:20Z,analylit-worker-analysis-5,0.04%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:20Z,analylit-worker-analysis-1,0.03%,22.02MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:20Z,analylit_redis,0.32%,3.77MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:20Z,analylit-worker-extraction-1,0.03%,22.02MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:20Z,analylit-worker-extraction-3,0.04%,22.05MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:20Z,analylit-worker-analysis-2,0.03%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:20Z,analylit-worker-screening-2,0.04%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:20Z,analylit_monitor,0.14%,9.91MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:27Z,analylit_web,0.18%,5.246GiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:27Z,analylit-rq-dashboard-1,0.01%,19.71MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:27Z,analylit-worker-import-1,0.04%,20.89MiB / 4GiB,N/A,N/A
2025-10-10T13:47:27Z,analylit-worker-analysis-4,0.05%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:27Z,analylit-worker-extraction-6,0.05%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:27Z,analylit-worker-analysis-6,0.04%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:27Z,analylit-worker-synthesis-2,0.04%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:27Z,analylit-worker-extraction-2,0.03%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:27Z,analylit-worker-extraction-5,0.04%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:27Z,analylit-worker-screening-1,0.04%,22.03MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:27Z,analylit-worker-analysis-3,0.05%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:27Z,analylit_ollama,0.00%,26.65MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:27Z,analylit-worker-synthesis-1,0.03%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:27Z,analylit-worker-extraction-4,0.04%,22.02MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:27Z,analylit_db,0.02%,19.21MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:27Z,analylit-worker-analysis-5,0.04%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:27Z,analylit-worker-analysis-1,0.04%,22.02MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:27Z,analylit_redis,2.30%,3.777MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:27Z,analylit-worker-extraction-1,0.05%,22.02MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:27Z,analylit-worker-extraction-3,0.04%,22.05MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:27Z,analylit-worker-analysis-2,0.03%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:27Z,analylit-worker-screening-2,0.04%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:27Z,analylit_monitor,0.61%,11.34MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:35Z,analylit_web,6.01%,5.294GiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:35Z,analylit-rq-dashboard-1,0.21%,19.71MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:35Z,analylit-worker-import-1,0.03%,20.89MiB / 4GiB,N/A,N/A
2025-10-10T13:47:35Z,analylit-worker-analysis-4,0.03%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:35Z,analylit-worker-extraction-6,0.03%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:35Z,analylit-worker-analysis-6,0.03%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:35Z,analylit-worker-synthesis-2,0.03%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:35Z,analylit-worker-extraction-2,0.03%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:35Z,analylit-worker-extraction-5,0.03%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:35Z,analylit-worker-screening-1,0.03%,22.03MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:35Z,analylit-worker-analysis-3,0.04%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:35Z,analylit_ollama,0.00%,26.65MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:35Z,analylit-worker-synthesis-1,0.04%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:35Z,analylit-worker-extraction-4,0.03%,22.02MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:35Z,analylit_db,1.77%,21.19MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:35Z,analylit-worker-analysis-5,0.03%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:35Z,analylit-worker-analysis-1,0.04%,22.02MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:35Z,analylit_redis,0.50%,3.805MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:35Z,analylit-worker-extraction-1,0.03%,22.02MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:35Z,analylit-worker-extraction-3,0.04%,22.05MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:35Z,analylit-worker-analysis-2,0.03%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:35Z,analylit-worker-screening-2,0.04%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:35Z,analylit_monitor,0.59%,11.22MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:42Z,analylit_web,0.12%,5.294GiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:42Z,analylit-rq-dashboard-1,0.01%,19.71MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:42Z,analylit-worker-import-1,0.03%,20.89MiB / 4GiB,N/A,N/A
2025-10-10T13:47:42Z,analylit-worker-analysis-4,0.04%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:42Z,analylit-worker-extraction-6,0.04%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:42Z,analylit-worker-analysis-6,0.04%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:42Z,analylit-worker-synthesis-2,0.04%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:42Z,analylit-worker-extraction-2,0.03%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:42Z,analylit-worker-extraction-5,0.04%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:42Z,analylit-worker-screening-1,0.03%,22.03MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:42Z,analylit-worker-analysis-3,0.03%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:42Z,analylit_ollama,0.00%,26.65MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:42Z,analylit-worker-synthesis-1,0.03%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:42Z,analylit-worker-extraction-4,0.04%,22.02MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:42Z,analylit_db,0.02%,21.2MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:42Z,analylit-worker-analysis-5,0.04%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:42Z,analylit-worker-analysis-1,0.03%,22.02MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:42Z,analylit_redis,2.37%,3.738MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:42Z,analylit-worker-extraction-1,0.04%,22.02MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:42Z,analylit-worker-extraction-3,0.03%,22.05MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:42Z,analylit-worker-analysis-2,0.03%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:42Z,analylit-worker-screening-2,0.03%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:42Z,analylit_monitor,0.63%,10.81MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:49Z,analylit_web,0.11%,5.294GiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:49Z,analylit-rq-dashboard-1,0.35%,19.73MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:49Z,analylit-worker-import-1,0.03%,20.89MiB / 4GiB,N/A,N/A
2025-10-10T13:47:49Z,analylit-worker-analysis-4,0.03%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:49Z,analylit-worker-extraction-6,0.03%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:49Z,analylit-worker-analysis-6,0.03%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:49Z,analylit-worker-synthesis-2,0.03%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:49Z,analylit-worker-extraction-2,0.03%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:49Z,analylit-worker-extraction-5,0.03%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:49Z,analylit-worker-screening-1,0.05%,22.03MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:49Z,analylit-worker-analysis-3,0.04%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:49Z,analylit_ollama,0.00%,26.65MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:49Z,analylit-worker-synthesis-1,0.03%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:49Z,analylit-worker-extraction-4,0.04%,22.02MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:49Z,analylit_db,0.02%,21.73MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:49Z,analylit-worker-analysis-5,0.04%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:49Z,analylit-worker-analysis-1,0.04%,22.02MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:49Z,analylit_redis,0.40%,3.742MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:49Z,analylit-worker-extraction-1,0.03%,22.02MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:49Z,analylit-worker-extraction-3,0.04%,22.05MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:49Z,analylit-worker-analysis-2,0.03%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T13:47:49Z,analylit-worker-screening-2,0.03%,22.04MiB / 13.65GiB,N/A,N/A
